Card Number ,Card Title,Tag,Side,Type,Site #
01002,"The One Ring| The Ruling Ring",LOTR-EN01002,Free,Ring,
01290,"Frodo| Son of Drogo",LOTR-EN01290,Free,RingBearer,
01320,East Road,LOTR-EN01320,Site,Site,1
01327,Bree Gate,LOTR-EN01327,Site,Site,2
01340,Rivendell Terrace,LOTR-EN01340,Site,Site,3
01346,Moria Lake,LOTR-EN01346,Site,Site,4
01349,Bridge of Kazad-dum,LOTR-EN01349,Site,Site,5
01351,Galadriel's Glade,LOTR-EN01351,Site,Site,6
01355,Silverlode Banks ,LOTR-EN01355,Site,Site,7
01358,Pillars of the Kings,LOTR-EN01358,Site,Site,8
01361,Slopes of Amon Hen,LOTR-EN01361,Site,Site,9
01365,"Aragron| King in Exile",LOTR-EN01365,Free,Companion,
01365,"Aragron| King in Exile",LOTR-EN01365,Free,Companion,
01097,"Boromir| Son of Denethor",LOTR-EN01097,Free,Companion,
01097,"Boromir| Son of Denethor",LOTR-EN01097,Free,Companion,
01051,"Legolas| Prince of Mirkwood",LOTR-EN01051,Free,Companion,
01311,"Sam| Son of Hamfast",LOTR-EN01311,Free,Companion,
01094,Athelas,LOTR-EN01094,Free,Posession,
01094,Athelas,LOTR-EN01094,Free,Posession,
01101,Coat of Mail ,LOTR-EN01101,Free,Posession,
01107,Great Shield,LOTR-EN01107,Free,Posession,
01107,Great Shield,LOTR-EN01107,Free,Posession,
01299,Hobbit Sword,LOTR-EN01299,Free,Posession,
01299,Hobbit Sword,LOTR-EN01299,Free,Posession,
01104,Eregion's Trails,LOTR-EN01104,Free,Event,
01104,Eregion's Trails,LOTR-EN01104,Free,Event,
01108,No Stranger to the Shadows,LOTR-EN01108,Free,Condition,
01108,No Stranger to the Shadows,LOTR-EN01108,Free,Condition,
01110,Pathfinder,LOTR-EN01110,Free,Event,
01110,Pathfinder,LOTR-EN01110,Free,Event,
01116,Swordarm of the White Tower,LOTR-EN01116,Free,Event,
01116,Swordarm of the White Tower,LOTR-EN01116,Free,Event,
01116,Swordarm of the White Tower,LOTR-EN01116,Free,Event,
01117,Swordsman of the Northern Kingdom,LOTR-EN01117,Free,Event,
01117,Swordsman of the Northern Kingdom,LOTR-EN01117,Free,Event,
01117,Swordsman of the Northern Kingdom,LOTR-EN01117,Free,Event,
01150,Uruk Rager,LOTR-EN01150,Shadow,Minion,
01150,Uruk Rager,LOTR-EN01150,Shadow,Minion,
01150,Uruk Rager,LOTR-EN01150,Shadow,Minion,
01151,Uruk Savage,LOTR-EN01151,Shadow,Minion,
01151,Uruk Savage,LOTR-EN01151,Shadow,Minion,
01151,Uruk Savage,LOTR-EN01151,Shadow,Minion,
01152,Uruk Shaman,LOTR-EN01152,Shadow,Minion,
01152,Uruk Shaman,LOTR-EN01152,Shadow,Minion,
01152,Uruk Shaman,LOTR-EN01152,Shadow,Minion,
01153,Uruk Slayer,LOTR-EN01153,Shadow,Minion,
01153,Uruk Slayer,LOTR-EN01153,Shadow,Minion,
01154,Uruk Soldier,LOTR-EN01154,Shadow,Minion,
01154,Uruk Soldier,LOTR-EN01154,Shadow,Minion,
01158,Uruk-hai Raiding Party,LOTR-EN01158,Shadow,Minion,
01158,Uruk-hai Raiding Party,LOTR-EN01158,Shadow,Minion,
01157,Uruk-hai Armory,LOTR-EN01157,Shadow,Condition,
01157,Uruk-hai Armory,LOTR-EN01157,Shadow,Condition,
01121,Bred for Battle,LOTR-EN01121,Shadow,Event,
01121,Bred for Battle,LOTR-EN01121,Shadow,Event,
01121,Bred for Battle,LOTR-EN01121,Shadow,Event,
01133,Saruman's Ambition,LOTR-EN01133,Shadow,Condition,
01133,Saruman's Ambition,LOTR-EN01133,Shadow,Condition,
01141,Their Arrows Enrage ,LOTR-EN01141,Shadow,Condition,
01141,Their Arrows Enrage ,LOTR-EN01141,Shadow,Condition,
