Card Number ,Card Title,Tag,Side,Type,Site #
01326,Westfarthing ,LOTR-EN01326,Site,Site,1
01331,Ettenmoors,LOTR-EN01331,Site,Site,2
01337,Council Courtyard,LOTR-EN01337,Site,Site,3
01345,Mithril Mine,LOTR-EN01345,Site,Site,4
01349,The Bridge of Kazad-dum,LOTR-EN01349,Site,Site,5
01350,Dimrill Dale,LOTR-EN01350,Site,Site,6
01353,Anduin Confluence ,LOTR-EN01353,Site,Site,7
01359,Shore of Nen Hithoel,LOTR-EN01359,Site,Site,8
01360,Emyn Muil ,LOTR-EN01360,Site,Site,9
01364,"Gandalf| The Grey Wizard",LOTR-EN01364,Free,Companion,
01364,"Gandalf| The Grey Wizard",LOTR-EN01364,Free,Companion,
01097,"Boromir| Son of Denethor",LOTR-EN01097,Free,Companion,
01012,"Gimli| Dwarf of Erebor",LOTR-EN01012,Free,Companion,
01012,"Gimli| Dwarf of Erebor",LOTR-EN01012,Free,Companion,
01051,"Legolas| Prince of Mirkwood",LOTR-EN01051,Free,Companion,
01051,"Legolas| Prince of Mirkwood",LOTR-EN01051,Free,Companion,
01070,"Barliman Butterbur| Prancing Pony Proprietor",LOTR-EN01070,Free,Ally,
01286,Bounder,LOTR-EN01286,Free,Ally,
01286,Bounder,LOTR-EN01286,Free,Ally,
01286,Bounder,LOTR-EN01286,Free,Ally,
01299,Hobbit Sword,LOTR-EN01299,Free,Posession,
01037,Defiance,LOTR-EN01037,Free,Event,
01037,Defiance,LOTR-EN01037,Free,Event,
01076,Intimidate,LOTR-EN01076,Free,Event,
01076,Intimidate,LOTR-EN01076,Free,Event,
01076,Intimidate,LOTR-EN01076,Free,Event,
01078,Mysterious Wizard,LOTR-EN01078,Free,Event,
01078,Mysterious Wizard,LOTR-EN01078,Free,Event,
01078,Mysterious Wizard,LOTR-EN01078,Free,Event,
01304,Noble Intentions,LOTR-EN01304,Free,Event,
01026,Their Halls of Stone,LOTR-EN01026,Free,Event,
01026,Their Halls of Stone,LOTR-EN01026,Free,Event,
01086,Treachery Deeper Than You Know,LOTR-EN01086,Free,Event,
01176,Goblin Marksman,LOTR-EN01176,Shadow,Minion,
01176,Goblin Marksman,LOTR-EN01176,Shadow,Minion,
01176,Goblin Marksman,LOTR-EN01176,Shadow,Minion,
01178,Goblin Runner,LOTR-EN01178,Shadow,Minion,
01178,Goblin Runner,LOTR-EN01178,Shadow,Minion,
01178,Goblin Runner,LOTR-EN01178,Shadow,Minion,
01179,Goblin Scavengers,LOTR-EN01179,Shadow,Minion,
01179,Goblin Scavengers,LOTR-EN01179,Shadow,Minion,
01179,Goblin Scavengers,LOTR-EN01179,Shadow,Minion,
01181,Goblin Sneak,LOTR-EN01181,Shadow,Minion,
01181,Goblin Sneak,LOTR-EN01181,Shadow,Minion,
01181,Goblin Sneak,LOTR-EN01181,Shadow,Minion,
01191,Moria Scout,LOTR-EN01191,Shadow,Minion,
01191,Moria Scout,LOTR-EN01191,Shadow,Minion,
01191,Moria Scout,LOTR-EN01191,Shadow,Minion,
01180,Goblin Scimitar,LOTR-EN01180,Shadow,Posession,
01180,Goblin Scimitar,LOTR-EN01180,Shadow,Posession,
01180,Goblin Scimitar,LOTR-EN01180,Shadow,Posession,
01168,Drums in the Deep,LOTR-EN01168,Shadow,Event,
01168,Drums in the Deep,LOTR-EN01168,Shadow,Event,
01178,Drums in the Deep,LOTR-EN01168,Shadow,Event,
01187,Host of Thousands,LOTR-EN01187,Shadow,Event,
01187,Host of Thousands,LOTR-EN01187,Shadow,Event,
01196,They Are Coming,LOTR-EN01196,Shadow,Condition,
01196,They Are Coming,LOTR-EN01196,Shadow,Condition,
